epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
75,240,latent no-align,0.001,148,0.003805632114636938,0.0,0.0,0.0,0.003499825168841493,0.05935666974432565,0.044163634471998024,0.1465254438084525,2.200766351273381e-05,1.0,1.0,28.288371077720665,,28.288371077720665,14.827276609556522,,16.825667919410176,0,raw,10,9.420060206204653,637.6621623672545
76,240,latent no-align,0.001,148,0.0036933301551569557,0.0,0.0,0.0,0.0034308655445489124,0.05799026852725325,0.04585832732452734,0.14195498220018438,2.1855335723336572e-05,1.0,1.0,35.5557827632001,,35.5557827632001,14.827276609556522,,16.825667919410176,0,raw,11,9.706034120172262,647.3691824860871
77,240,latent no-align,0.001,148,0.0036801369530400515,0.0,0.0,0.0,0.003388951686714348,0.0567771999316441,0.04790226604185394,0.13808796736034187,2.0138387716960516e-05,1.0,1.0,38.602903370659035,,38.602903370659035,14.827276609556522,,16.825667919410176,0,raw,12,10.098855789750814,657.4689913988113
78,240,latent no-align,0.001,148,0.0036325480228894063,0.0,0.0,0.0,0.0033492925089179866,0.05571268388145679,0.04943236321009494,0.1390997724154511,1.88419524887207e-05,1.0,1.0,40.323882074920874,,40.323882074920874,14.827276609556522,,16.825667919410176,0,raw,13,10.066750355064869,667.5366751775146
79,240,latent no-align,0.001,148,0.003726942165805077,0.0,0.0,0.0,0.0033297639220600597,0.0547613533767494,0.04984303697238903,0.1459817116123599,1.819559490188014e-05,1.0,1.0,41.56400781369417,,41.56400781369417,14.827276609556522,42.64815537459958,16.825667919410176,0,raw,14,12.929851934313774,680.467475745827
80,240,latent no-align,0.0005,148,0.0035285145827770436,0.0,0.0,0.0,0.003261920816667781,0.05267932588184202,0.049003689172300136,0.1551496544601144,1.763807960889755e-05,1.0,1.0,41.499579789875256,,41.499579789875256,14.827276609556522,,16.825667919410176,0,raw,15,9.621287945657969,690.089836012572
81,240,latent no-align,0.0005,148,0.003496092254912632,0.0,0.0,0.0,0.00321032152655912,0.05133257058725969,0.047791377590918865,0.16152645204518293,1.758404871022346e-05,1.0,1.0,41.60463317972157,,41.60463317972157,14.827276609556522,,16.825667919410176,0,raw,16,9.187962405383587,699.278738245368
82,240,latent no-align,0.0005,148,0.0034427944857098563,0.0,0.0,0.0,0.0031457838894975547,0.04973131405642709,0.04629280143794981,0.16775307844619494,1.7133633393215762e-05,1.0,1.0,41.175921330637166,,41.175921330637166,14.827276609556522,,16.825667919410176,0,raw,17,9.998431868851185,709.2781113423407
83,240,latent no-align,0.0005,148,0.0034797717250782895,0.0,0.0,0.0,0.003090560659640343,0.04841902250474369,0.04522223740413382,0.17391751726736893,1.7048653723356216e-05,1.0,1.0,41.5538437236379,,41.5538437236379,14.827276609556522,,16.825667919410176,0,raw,18,9.81022746488452,719.0892622247338
84,240,latent no-align,0.0005,148,0.0035055108034882593,0.0,0.0,0.0,0.0030566875954989242,0.047344226239098085,0.044147708176358325,0.17720337645024867,1.676009188068329e-05,1.0,1.0,42.366244621659554,,42.366244621659554,14.827276609556522,43.592914753187905,16.825667919410176,0,raw,19,11.809278402477503,730.899481896311
85,240,latent no-align,0.0005,148,0.0034818837208346136,0.0,0.0,0.0,0.0030122234256359168,0.0460912372061127,0.04276374838239438,0.17998240515589714,1.6584501029658872e-05,1.0,1.0,41.95141479062953,,41.95141479062953,14.827276609556522,,16.825667919410176,0,raw,20,10.049887012690306,740.9503647126257
86,240,latent no-align,0.0005,148,0.0034660732678792163,0.0,0.0,0.0,0.002946157947597975,0.044673071544919465,0.03965824145219616,0.17675222889394374,1.668159801418959e-05,1.0,1.0,44.05508683617904,,44.05508683617904,14.827276609556522,,16.825667919410176,0,raw,21,8.593825656920671,749.5451746098697
87,240,latent no-align,0.0005,148,0.003463539821913818,0.0,0.0,0.0,0.0028901921405859693,0.0431910889424585,0.03680342599447515,0.17426761038400032,1.6103641452925354e-05,1.0,1.0,44.25378344057119,,44.25378344057119,14.827276609556522,,16.825667919410176,0,raw,22,10.051405750215054,759.5975176952779
88,240,latent no-align,0.0005,148,0.0033728892134653556,0.0,0.0,0.0,0.0028351682279183455,0.04189911273282927,0.03528029008491619,0.17229867766837817,1.589324842456876e-05,1.0,1.0,45.19627797078504,,45.19627797078504,14.827276609556522,,16.825667919410176,0,raw,23,10.105749599635601,769.7042057216167
